,video,swing_id,start_frame,end_frame,duration_s,peak_speed_mps,peak_angular_velocity_rps,mean_angular_velocity_rps,swing_angle_deg,smoothness_score
0,cricket_swing.mp4,0,23,28,0.0833,4.2656,2.5137,1.5723,6.1022,0.1246
1,cricket_swing.mp4,1,89,106,0.2833,10.2315,5.8378,2.736,43.2808,0.3969
2,cricket_swing.mp4,2,132,140,0.1333,10.2382,4.8144,3.1262,22.3055,0.3
3,cricket_swing.mp4,3,419,443,0.4,9.6559,4.8766,2.0798,47.5742,0.2605
4,cricket_swing.mp4,4,448,456,0.1333,11.2529,5.206,3.7593,26.8035,0.3014
5,cricket_swing.mp4,5,459,475,0.2667,3.9537,1.8588,1.449,20.3647,0.4587
6,cricket_swing.mp4,6,772,782,0.1667,10.4902,19.7499,9.1644,19.4602,0.4169
7,cricket_swing.mp4,7,978,1009,0.5167,8.7801,2.3788,0.5831,7.2174,0.2502
8,cricket_swing.mp4,8,1034,1039,0.0833,9.7647,1.0305,0.8648,3.5406,0.0557
9,cricket_swing.mp4,9,1041,1047,0.1,10.1934,1.3817,1.0845,5.1152,0.1532
10,cricket_swing.mp4,10,1050,1057,0.1167,8.526,0.9909,0.7443,4.6511,0.2328
11,cricket_swing.mp4,11,1170,1177,0.1167,8.7267,1.0441,0.8177,5.0321,0.2763
12,cricket_swing.mp4,12,1301,1306,0.0833,3.0459,0.6043,0.5462,2.0766,0.0713
13,cricket_swing.mp4,13,1393,1415,0.3667,73.1046,4.0439,1.4417,5.1095,0.34
